BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0000996194, 0.0000001581, 23, 0.28, 0.79, 0.0000996194, 0.0000001581, 10, 0.0000943525, 0.0000001843, 873, 1.00, 0.95
1, 0.0000212549, 0.0000000497, 7, 0.04, 0.09, 0.0000212549, 0.0000000497, 1, 0.0000212549, 0.0000000497, 1, 1.00, 1.00
2, 0.0000994772, 0.0000005131, 52, 0.87, 1.37, 0.0001941040, 0.0000029032, 2, 0.0000909042, 0.0000010939, 976, 1.95, 0.91
3, 0.0000113302, 0.0000000020, 7, 0.03, 0.18, 0.0000113302, 0.0000000020, 3, 0.0000113302, 0.0000000020, 3, 1.00, 1.00
4, 0.0000665383, 0.0000007096, 44, 0.89, 1.40, 0.0000899153, 0.0000010145, 3, 0.0000682810, 0.0000009192, 395, 1.35, 1.03
5, 0.0001525757, 0.0000004183, 36, 0.51, 1.01, 0.0002110830, 0.0000015687, 2, 0.0001132625, 0.0000014897, 1047, 1.38, 0.74
6, 0.0000029876, 0.0000000015, 6, 0.03, 0.53, 0.0000029876, 0.0000000015, 5, 0.0000029076, 0.0000000008, 15, 1.00, 0.97
7, 0.0002111143, 0.0000002416, 47, 0.44, 0.95, 0.0002310162, 0.0000004141, 7, 0.0000877419, 0.0000010880, 899, 1.09, 0.42
8, 0.0000788478, 0.0000004180, 95, 0.61, 1.11, 0.0005532902, 0.0000039480, 7, 0.0001669714, 0.0000022080, 1666, 7.02, 2.12
9, 0.0000023338, 0.0000000008, 7, 0.04, 0.54, 0.0000023338, 0.0000000008, 4, 0.0000023245, 0.0000000022, 40, 1.00, 1.00
10, 0.0001024101, 0.0000001824, 28, 0.20, 0.71, 0.0001024101, 0.0000001824, 6, 0.0000490637, 0.0000005538, 1051, 1.00, 0.48
11, 0.0000023374, 0.0000000008, 7, 0.03, 0.53, 0.0000023374, 0.0000000008, 8, 0.0000022378, 0.0000000003, 26, 1.00, 0.96
12, 0.0000044365, 0.0000000063, 7, 0.03, 0.53, 0.0000044365, 0.0000000063, 8, 0.0000043731, 0.0000000132, 19, 1.00, 0.99
13, 0.0000022714, 0.0000000090, 2, 0.02, 0.07, 0.0000022714, 0.0000000090, 1, 0.0000022714, 0.0000000090, 1, 1.00, 1.00
14, 0.0026682027, 0.0000017405, 55, 1.54, 1.59, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 3747841243443.78, 3747841243443.78
15, 0.0001545752, 0.0000000057, 17, 0.12, 0.63, 0.0001545752, 0.0000000057, 3, 0.0000866447, 0.0000000077, 334, 1.00, 0.56
