BENCH: alexnet
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
0, 0.00001939, 0.00000004, 10, 0.02, 0.00001939, 0.00000004, 1.00
1, 0.00066170, 0.00001169, 100, 0.30, 0.00070537, 0.00000075, 1.07
2, 0.00077347, 0.00001686, 77, 0.36, 0.00079135, 0.00000101, 1.02
3, 0.00072138, 0.00000745, 86, 0.29, 0.00076384, 0.00000098, 1.06
4, 0.00000876, 0.00000001, 11, 0.03, 0.00000876, 0.00000001, 1.00
5, 0.00042640, 0.00000049, 97, 0.66, 0.00045436, 0.00000103, 1.07
6, 0.00000672, 0.00000001, 10, 0.02, 0.00000672, 0.00000001, 1.00
7, 0.00089879, 0.00002352, 83, 0.28, 0.00090585, 0.00000097, 1.01
8, 0.00002189, 0.00000001, 38, 0.07, 0.00002189, 0.00000001, 1.00
9, 0.00000509, 0.00000000, 10, 0.02, 0.00000509, 0.00000000, 1.00
10, 0.00014136, 0.00000025, 46, 0.18, 0.00014136, 0.00000025, 1.00
11, 0.00001383, 0.00000003, 10, 0.02, 0.00001383, 0.00000003, 1.00
12, 0.00006458, 0.00000025, 10, 0.03, 0.00006842, 0.00000027, 1.06
13, 0.00033998, 0.00001037, 73, 0.17, 0.00036329, 0.00000063, 1.07
14, 0.00001333, 0.00000002, 10, 0.02, 0.00001333, 0.00000002, 1.00
15, 0.00077628, 0.00001155, 80, 0.29, 0.00081973, 0.00000058, 1.06
16, 0.00000902, 0.00000001, 11, 0.02, 0.00000902, 0.00000001, 1.00
17, 0.00038791, 0.00000141, 86, 0.38, 0.00040464, 0.00000054, 1.04
18, 0.00003853, 0.00000005, 10, 0.03, 0.00003853, 0.00000005, 1.00
19, 0.00071992, 0.00001213, 66, 0.31, 0.00077727, 0.00000078, 1.08
20, 0.00095353, 0.00001130, 75, 0.51, 0.00100139, 0.00000072, 1.05
21, 0.00003420, 0.00000038, 20, 0.08, 0.00003474, 0.00000007, 1.02
22, 0.00036050, 0.00000116, 37, 0.08, 0.00036050, 0.00000116, 1.00
23, 0.00001107, 0.00000002, 10, 0.02, 0.00001107, 0.00000002, 1.00
24, 0.00081471, 0.00001629, 77, 0.19, 0.00084605, 0.00000028, 1.04
25, 0.00000513, 0.00000000, 11, 0.02, 0.00000513, 0.00000000, 1.00
26, 0.00036212, 0.00000202, 98, 0.68, 0.00037990, 0.00000047, 1.05
27, 0.00001120, 0.00000002, 10, 0.02, 0.00001120, 0.00000002, 1.00
28, 0.00077411, 0.00001431, 75, 0.29, 0.00082615, 0.00000094, 1.07
29, 0.00112114, 0.00003067, 100, 0.44, 0.00114877, 0.00000025, 1.02
30, 0.00000783, 0.00000000, 10, 0.02, 0.00000783, 0.00000000, 1.00
31, 0.00001864, 0.00000008, 10, 0.03, 0.00001864, 0.00000008, 1.00
32, 0.00035727, 0.00000631, 82, 0.17, 0.00037269, 0.00000017, 1.04
33, 0.00000728, 0.00000002, 10, 0.03, 0.00000728, 0.00000002, 1.00
34, 0.00078961, 0.00001270, 86, 0.36, 0.00082529, 0.00000024, 1.05
35, 0.00000721, 0.00000002, 10, 0.02, 0.00000721, 0.00000002, 1.00
36, 0.00033608, 0.00000297, 100, 0.22, 0.00035517, 0.00000011, 1.06
37, 0.00000693, 0.00000001, 10, 0.02, 0.00000693, 0.00000001, 1.00
38, 0.00076598, 0.00000137, 33, 0.11, 0.00076598, 0.00000137, 1.00
39, 0.00101849, 0.00002618, 82, 0.40, 0.00109437, 0.00000028, 1.07
40, 0.00000464, 0.00000001, 10, 0.02, 0.00000464, 0.00000001, 1.00
41, 0.00041495, 0.00000272, 99, 0.28, 0.00044064, 0.00000081, 1.06
42, 0.00000562, 0.00000002, 11, 0.02, 0.00000562, 0.00000002, 1.00
43, 0.00075936, 0.00001190, 72, 0.27, 0.00079580, 0.00000093, 1.05
44, 0.00000254, 0.00000005, 19, 0.06, 0.00000339, 0.00000001, 1.33
45, 0.00035759, 0.00000219, 66, 0.31, 0.00036340, 0.00000043, 1.02
46, 0.00000393, 0.00000000, 40, 0.06, 0.00000393, 0.00000000, 1.00
47, 0.00000037, 0.00000003, 14, 0.04, 0.00000630, 0.00000001, 17.13
48, 0.00002971, 0.00000001, 1, 0.07, 0.00002971, 0.00000001, 1.00
49, 0.00000414, 0.00000005, 100, 0.16, 0.00000788, 0.00000000, 1.90
BENCH: resnet152
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
0, 0.00001944, 0.00000006, 10, 0.02, 0.00001944, 0.00000006, 1.00
1, 0.00070273, 0.00001310, 100, 0.37, 0.00073119, 0.00000139, 1.04
2, 0.00073901, 0.00001125, 84, 0.23, 0.00077816, 0.00000073, 1.05
3, 0.00076210, 0.00001156, 89, 0.65, 0.00080609, 0.00000053, 1.06
4, 0.00000866, 0.00000002, 11, 0.03, 0.00000866, 0.00000002, 1.00
5, 0.00041584, 0.00000461, 100, 0.69, 0.00044793, 0.00000032, 1.08
6, 0.00000669, 0.00000000, 10, 0.02, 0.00000669, 0.00000000, 1.00
7, 0.00088791, 0.00000843, 100, 0.49, 0.00093542, 0.00000044, 1.05
8, 0.00001677, 0.00000001, 16, 0.05, 0.00001677, 0.00000001, 1.00
9, 0.00000519, 0.00000000, 10, 0.02, 0.00000519, 0.00000000, 1.00
10, 0.00013180, 0.00000094, 71, 0.31, 0.00013479, 0.00000009, 1.02
11, 0.00001431, 0.00000003, 10, 0.03, 0.00001431, 0.00000003, 1.00
12, 0.00006508, 0.00000049, 14, 0.04, 0.00006823, 0.00000010, 1.05
