BENCH: densenet169
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
47, 0.0003252807, 0.0000001259, 100, 1.32, 1.42, 0.0004218099, 0.0000007742, 5, 0.0002797067, 0.0000000307, 35, 1.30, 0.86
48, 0.0001655387, 0.0000003470, 100, 1.29, 1.39, 0.0003039189, 0.0000009452, 3, 0.0001091096, 0.0000000681, 80, 1.84, 0.66
49, 0.0002535148, 0.0000016438, 97, 1.23, 1.34, 0.0003797230, 0.0001087555, 2, 0.0002741955, 0.0000005799, 24, 1.50, 1.08
50, 0.0001873305, 0.0000011545, 89, 1.66, 1.76, 0.0002085691, 0.0000033490, 3, 0.0002065911, 0.0000002639, 41, 1.11, 1.10
51, 0.0001618587, 0.0000005604, 99, 1.43, 1.52, 0.0002812965, 0.0000027495, 9, 0.0002812965, 0.0000027495, 9, 1.74, 1.74
52, 0.0002030708, 0.0000009700, 96, 1.57, 1.67, 0.0002659709, 0.0000004599, 8, 0.0001596217, 0.0000000753, 39, 1.31, 0.79
53, 0.0002005358, 0.0000008150, 55, 1.28, 1.39, 0.0002289067, 0.0000001667, 7, 0.0002132304, 0.0000011747, 61, 1.14, 1.06
54, 0.0001584003, 0.0000005967, 100, 1.28, 1.38, 0.0002514492, 0.0000011699, 8, 0.0001997338, 0.0000003931, 44, 1.59, 1.26
55, 0.0001700853, 0.0000005216, 93, 1.46, 1.56, 0.0002043884, 0.0000001556, 7, 0.0001900211, 0.0000000202, 55, 1.20, 1.12
56, 0.0001603620, 0.0000006890, 96, 1.48, 1.59, 0.0003630249, 0.0000480845, 5, 0.0001756921, 0.0000000470, 38, 2.26, 1.10
57, 0.0001691572, 0.0000035671, 100, 1.42, 1.52, 0.0001940131, 0.0000001110, 9, 0.0001772436, 0.0000001391, 56, 1.15, 1.05
58, 0.0001987758, 0.0000016643, 93, 1.42, 1.53, 0.0004258805, 0.0000006377, 6, 0.0001671429, 0.0000002144, 19, 2.14, 0.84
